Name,Phone,Province,City
Saddar Barooni Police Station,051-9292856,Punjab,Rawalpindi
Chountra Police Station,051-4673181,Punjab,Rawalpindi
Rawat Police Station,051-3595100,Punjab,Rawalpindi
Police Post Adyala Police Station,051-5133156,Punjab,Rawalpindi
SP PHP Police Station, 051-9292643,Punjab,Rawalpindi
DSP Headquarter  Police Station,051-9292637,Punjab,Rawalpindi
DSP Legal  Police Station,051-9292656,Punjab,Rawalpindi
SP Rawal Police Station,051-9334913,Punjab,Rawalpindi
SDPO Police Station,051-9334040,Punjab,Rawalpindi
Ganjmandi Police Station,051-9334366,Punjab,Rawalpindi
Pirwadhai Police Station,051-9334559,Punjab,Rawalpindi
Ratta Amral Police Station,051-9334844,Punjab,Rawalpindi
Wah Cantt Police Station,051-905523218,Punjab,Wah Cantt
Gujar Khan  Police Station,051-9330013,Punjab,Gujar Khan 
Morgah Police Station,051-9334848,Punjab,Morgah
Kallar Sayedan Police Station,051-9330009,Punjab,Kallar Sayedan
Murree Police Station,051-3756632,Punjab,Murree
Aabpara Police Station,051-9204830,Punjab,Islamabad
Bani Gala Police Station,051-9255339,Punjab,Islamabad
Barakahu Police Station,051-2230029,Punjab,Islamabad
CTD Police Station,051-2303939,Punjab,Islamabad
Golra Sharif Police Station,051-9267099,Punjab,Islamabad
Industrial Area I-9 Police Station,051- 9258877,Punjab,Islamabad
Karachi Company Police Station,051-9334091,Punjab,Islamabad
Khanna Police Station,051-4473600,Punjab,Islamabad
Kohsar Police Station,051-9102499,Punjab,Islamabad
Koral Police Station,051-9252517,Punjab,Islamabad
Lohi Bher Police Station,051-5710906,Punjab,Islamabad
Margalla Police Station,051-9261510,Punjab,Islamabad
Nilore Police Station,3331150092,Punjab,Islamabad
Ramna Police Station,051-9330189,Punjab,Islamabad
Sabzi Mandi Police Station,051-9334840,Punjab,Islamabad
Secretariat Police Station,051-9209132,Punjab,Islamabad
Shahzad Town Police Station,051-9247444,Punjab,Islamabad
Shalimar Police Station,051-9266885,Punjab,Islamabad
Shamas Colony Police Station,051-9334499,Punjab,Islamabad
Sihala Police Station,051-4491334,Punjab,Islamabad
Tarnol Police Station,051-2295122,Punjab,Islamabad
Women Police Station,051-9252517,Punjab,Islamabad
SP (Operation Wing),042-99220615,Punjab,Lahore
SP (Investigation Wing),042-99220114-5,Punjab,Lahore
SDPO Police Station,042-35728462,Punjab,Lahore
Defence Area (A) Police Station,042-35727470,Punjab,Lahore
Defence Area (B) Police Station,042-35892014,Punjab,Lahore
Defence Area (C) Police Station,0308-7773255,Punjab,Lahore
Factory Area Police Station,042-35810498,Punjab,Lahore
Baghbanpura Police Station,042-36816919,Punjab,Lahore
Harbance Pura Police Station,042-36544501,Punjab,Lahore
Islampura Police Station,042-37156796,Punjab,Lahore
New Anarkali Police Station,042-99239623,Punjab,Lahore
Naulakha Circle SDPO,042-37662965,Punjab,Lahore
Naulakha Police Station,042-37630016,Punjab,Lahore
Akbari Gate Police Station,042-37636703,Punjab,Lahore
Badamibagh Circle SDPO,042-99239646,Punjab,Lahore
Badamibagh Police Station,042-37281500,Punjab,Lahore
Lorry Adda Police Station,042-99239629,Punjab,Lahore
Sarwar Road Police Station,042-99220611,Punjab,Lahore
Police Post Air Port,042-99240426,Punjab,Lahore
South Cantt Police Station,042-99220616,Punjab,Lahore
Manawan Police Station,042-36523137,Punjab,Lahore
Bata Pur Police Station,042-36581161,Punjab,Lahore
Police Post Wahga,042-99239415,Punjab,Lahore
SP (Operation Wing),042-99213433-35,Punjab,Lahore
Lower Mall Police Station,042-99213479,Punjab,Lahore
Data Darbar Police Station,042-37116558,Punjab,Lahore
Bhatti Gate Police Station,042-37662793,Punjab,Lahore
Gowalmandi Police Station,042-99239626,Punjab,Lahore
Mochi Gate Police Station,042-37653473,Punjab,Lahore
Missri Shah Circle SDPO,042-37612988,Punjab,Lahore
Missri Shah Police Station,042-36278444,Punjab,Lahore
Shadbagh Police Station,042-37281045,Punjab,Lahore
North Cantt Circle SDPO,042-99220148,Punjab,Lahore
North Cantt Police Station,042-99220602,Punjab,Lahore
Police Post Guldisht Town,042-36117936,Punjab,Lahore
Mustafa Abad Police Station,042-99239682,Punjab,Lahore
Ghazi Abad Police Station,042-36636439,Punjab,Lahore
SP (Investigation Wing),042-99213483-4,Punjab,Lahore
Tibbi City Police Station,042-37662768,Punjab,Lahore
Masti Gate Police Station,042-99239651,Punjab,Lahore
Yakki Gate Police Station,042-99239624,Punjab,Lahore
Shahdara Police Station,042-37920365,Punjab,Lahore
Shahdara Town Police Station,042-37944141,Punjab,Lahore
Rang Mehal Police Station,042-37661022,Punjab,Lahore
Lohari Gate Police Station,042-99239656,Punjab,Lahore
Barki Police Station,042-36560200,Punjab,Lahore
Hair Police Station,042-35600522,Punjab,Lahore
Hadiara Police Station,042-36560308,Punjab,Lahore
Police Post Minhala Police Station,042-36591200,Punjab,Lahore
Shafiq Abad Police Station,042-99239686,Punjab,Lahore
Ravi Road Police Station,042-99239628,Punjab,Lahore
Bagnotor Police Station,0992-850022,KPK,Abbottabad
PS Bakot Police Station,0992-451361,KPK,Abbottabad
PS Cantt Police Station,0992-9310038,KPK,Abbottabad
PS City Police Station,0992-9310039,KPK,Abbottabad
PS Dongagali Police Station,0992-355300,KPK,Abbottabad
PS Havelain Police Station,0992-810355,KPK,Abbottabad
PS Lora Police Station,0992-464014,KPK,Abbottabad
PS Arnag Police Station,0307-8041304,KPK,Bajaur
PS Barang Police Station,0308-8260432,KPK,Bajaur
PS Charmang Police Station,0300-5022563,KPK,Bajaur
PS Asbanr Police Station,0945-610316,KPK,Dir Lower
PS Balambat Police Station,0945-9250052,KPK,Dir Lower
PS Chakdara Police Station,0945-764533,KPK,Dir Lower
PS Hayaserai Police Station,0945-881003,KPK,Dir Lower
Foreigners Branch Police Station,0344-1197465,KPK,Dir Upper
PS Barawal Police Station,0944-830300,KPK,Dir Upper
PS Dir  Police Station,0944-880035,KPK,Dir Upper
PS Gandigar Police Station,0944-870030,KPK,Dir Upper
Doaba Police Station,0925-660014,KPK,Hangu
Saddar Police Station,0925-677261,KPK,Hangu
Thall,0925-510849,KPK,Hangu
Police Station Beer,0995-318288,KPK,Haripur
Police Station City,0995-920113,KPK,Haripur
Police Station Ghazi,0995-350222,KPK,Haripur
Police Station Hattar,0995-617388,KPK,Haripur
Police Station Khalabat,0995-619218,KPK,Haripur
Police Station Khanpur,0995-640011,KPK,Haripur
B.D Shah Police Station,0927-333144,KPK,Karak
Gurguri Police Station,0927-320008,KPK,Karak
Habib Ullah Police Station,0342-9305301,KPK,Karak
Khurram Police Station,0927-310302,KPK,Karak
Latamber Police Station,0927-220202,KPK,Karak
Sabir Abad Police Station,0927-230302,KPK,Karak
Billitang Police Station,0922-560112,KPK,Kohat
Cantt Police Station,0922-9260135,KPK,Kohat
City Police Station,0922-9260126,KPK,Kohat
Gumbat Police Station,0922-563033,KPK,Kohat
Jangle Khel Police Station,0922-9260128,KPK,Kohat
DSP Balakot Police Station,0997-500471,KPK,Mansehra
PS Baffa Police Station,0997-389002,KPK,Mansehra
PS Balakot Police Station,0997-500205,KPK,Mansehra
PS Batal Police Station,0997-343012,KPK,Mansehra
PS City Police Station,0997-920115,KPK,Mansehra
PS Darband Police Station,0997-580051,KPK,Mansehra
Choora Police Station,0937-929011,KPK,Mardan
City Police Station,0937-9230125,KPK,Mardan
Garhi Kapoora Police Station,0937-846113,KPK,Mardan
Hoti Police Station,0937-9230244,KPK,Mardan
Jabbar Police Station,0937-542112,KPK,Mardan
Katlang Police Station,0937-575302,KPK,Mardan
Akbar Pura Police Station,0923-590253,KPK,Nowshera
Akora Police Station,0923-561603,KPK,Nowshera
Aza Khel Police Station,0923-580424,KPK,Nowshera
Cantt Police Station,0923-9220113,KPK,Nowshera
Jalozai Police Station,0343-9186925,KPK,Nowshera
Dabori Police Station,0333-3352555,KPK,Orakzai
Ghiljo Police Station,0332-9615376,KPK,Orakzai
Kalaya Police Station,0334-9100931,KPK,Orakzai
Kurez Police Station,0335-9790925,KPK,Orakzai
AMJ Shah Police Station,091-9330464,KPK,Peshawar
Badaber Police Station,091-2370376,KPK,Peshawar
Banamari Police Station,091-9330416,KPK,Peshawar
Chamkani Police Station,091-9330435,KPK,Peshawar
Daudzai Police Station,091-2960115,KPK,Peshawar
East Cantt Police Station,091-9213059,KPK,Peshawar
Faqirabad Police Station,091-9331134,KPK,Peshawar
Gulbahar Police Station,091-9225317,KPK,Peshawar
Gulbarg Police Station,091-9213017,KPK,Peshawar
Hashtnaghri Police Station,091-9225450,KPK,Peshawar
Hassankhel Police Station,091-9239059,KPK,Peshawar
Hayatabad Police Station,091-9217333,KPK,Peshawar
Inqilab Police Station,091-9330075,KPK,Peshawar
Khazana Police Station,091-9330421,KPK,Peshawar
Kotwali Police Station,091-9330424,KPK,Peshawar
KRS Police Station,091-9330477,KPK,Peshawar
PS Aloch Police Station,0996-853230,KPK,Shangla
PS Alpuri Police Station,0996-850020,KPK,Shangla
PS Bisham Police Station,0996-400473,KPK,Shangla
PS Chakisar Police Station,0996-855161,KPK,Shangla
Gadoon (IDS) Police Station,0938-270555,KPK,Swabi
Kalo Khan Police Station,0938-310090,KPK,Swabi
Lahore Police Station,0938-300010,KPK,Swabi
Par Mooli Police Station,0938-420206,KPK,Swabi
Control Police Station,0946-881374,KPK,Swat
PS Bahrain Police Station,0946-780149,KPK,Swat
PS Bunr Police Station,0946-811902,KPK,Swat
PS Charbagh Police Station,0946-730156,KPK,Swat
PS Chuprial Police Station,0946-845110,KPK,Swat
PS Fatehpur Police Station,0946-840072,KPK,Swat
PS Ghaligay Police Station,0946-751320,KPK,Swat
PS City Police Station,0963-512523,KPK,Tank
PS Gomal Police Station,0963-518074,KPK,Tank
PS Gul Imam Police Station,0963-701778,KPK,Tank
Batagram Police Station,091-6954033,KPK,Charsadda
Charsadda Police Station,091-9220075,KPK,Charsadda
Khanmai Police Station,091-6560174,KPK,Charsadda
Khwaja Woos Police Station,091-6282664,KPK,Charsadda
Mandani Police Station,091-6640524,KPK,Charsadda
Nisatta Police Station,091-6951065,KPK,Charsadda
PS Basia Khel Police Station,0928-630469,KPK,Bannu
PS Cantt Police Station,0928 9270173,KPK,Bannu
PS City Police Station,0928-9270174,KPK,Bannu
PS CITY BANNU Police Station,0928 9270174,KPK,Bannu
PS Domel Police Station,0928-653541,KPK,Bannu
DPO Office Police Station,0943-470452,KPK,Upper Chitral
PAS/PAL Office Police Station,0348-9311055,KPK,Upper Chitral
PS Arandu Police Station,0943-400007,KPK,Lower Chitral
PS Ayun Police Station,0943-490007,KPK,Lower Chitral
PS Booni Police Station,0943-470024,KPK,Upper Chitral
PS City Police Station,0943-412913,KPK,Lower Chitral
PS Drosh Police Station,0943-480207,KPK,Lower Chitral
PS/Band Kurai Police Station,0966-778300,KPK,D. I. Khan
PS/Cantt Police Station,0966-9280313,KPK,D. I. Khan
PS/Choudhwan Police Station,0966-791005,KPK,D. I. Khan
PS/City Police Station,0966-9280302,KPK,D. I. Khan
PS/Daraban Police Station,0966-790012,KPK,D. I. Khan
PS/Dera Town Police Station,0966-710746,KPK,D. I. Khan
Sibi Police Station,0833-9230132,Balochistan,Sibi
Harnai Police Station,0833-520052,Balochistan,Harnai
Loralai Police Station,0824-410604,Balochistan,Loralai
Duki Police Station,8224-66616,Balochistan,Duki
Zhob Police Station,0822-412375,Balochistan,Zhob
Chaman Police Station,826920003,Balochistan,Chaman
Naseerabad Police Station,0838-710598,Balochistan,Naseerabad
Kachi / Bolan Police Station,0832-415767,Balochistan,Kachi / Bolan
Turbat / Kech Police Station,0852-413333,Balochistan,Turbat / Kech
Kalat Police Station,0844-210519,Balochistan,Kalat
Awaran Police Station,0856-511202,Balochistan,Awaran
Hub Police Station,853365291,Balochistan,Hub
Washuk Police Station,0847-520068,Balochistan,Washuk
Chaghi Police Station,0825-211280,Balochistan,Chaghi
Dera Bugti Police Station,0835-420512,Balochistan,Dera Bugti
Ziarat Police Station,0833-560350,Balochistan,Ziarat
Musakhail Police Station,0828-611218,Balochistan,Musakhail
Barkhan Police Station, 0829-668251,Balochistan,Barkhan
Sherani Police Station,0822-412741,Balochistan,Sherani
Killa Abdullah Police Station,0826-613666,Balochistan,Killa Abdullah
Sohbatpur Police Station,0838-603015,Balochistan,Sohbatpur
Gwadar Police Station, 0864-210040,Balochistan,Gwadar
Mastung Police Station, 0843-895888,Balochistan,Mastung
Kharan Police Station, 0847-501212,Balochistan,Kharan
Kohlu Police Station,0829-667088,Balochistan,Kohlu
Pishin Police Station, 0826-420303,Balochistan,Pishin
Killa Saifullah Police Station,0823-610337,Balochistan,Killa Saifullah
Jhall Magsi Police Station,0837-430186,Balochistan,Jhall Magsi
Jaffarabad Police Station,0838-510089,Balochistan,Jaffarabad
Panjgoor Police Station, 0855-642531,Balochistan,Panjgoor
Khuzdar Police Station,0848-412372,Balochistan,Khuzdar
Lesbela Police Station, 0853-610264,Balochistan,Lesbela
Nushki Police Station,0825-873845,Balochistan,Nushki
